starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 14 21:35:06 2019	1550180106	115	20	135	20
Thu Feb 14 21:35:10 2019	1550180110	74	61	135	60
Thu Feb 14 21:35:07 2019	1550180107	112	24	136	23
Thu Feb 14 21:35:07 2019	1550180107	112	24	136	23
Thu Feb 14 21:35:07 2019	1550180107	98	39	137	39
Thu Feb 14 21:35:05 2019	1550180105	87	51	138	50
Thu Feb 14 21:35:08 2019	1550180108	111	27	138	27
Thu Feb 14 21:35:08 2019	1550180108	115	23	138	21
Thu Feb 14 21:35:07 2019	1550180107	104	35	138	35
Thu Feb 14 21:35:05 2019	1550180105	117	22	139	21
Thu Feb 14 21:35:07 2019	1550180107	104	35	139	35
Thu Feb 14 21:35:07 2019	1550180107	111	28	139	28
Thu Feb 14 21:35:07 2019	1550180107	119	21	140	21
Thu Feb 14 21:35:07 2019	1550180107	120	20	140	20
Thu Feb 14 21:35:07 2019	1550180107	98	42	140	40
Thu Feb 14 21:35:06 2019	1550180106	91	49	140	49
Thu Feb 14 21:35:07 2019	1550180107	113	28	141	27
Thu Feb 14 21:35:05 2019	1550180105	100	41	141	41
Thu Feb 14 21:35:08 2019	1550180108	126	15	141	15
Thu Feb 14 21:35:05 2019	1550180105	121	20	141	20
Thu Feb 14 21:35:07 2019	1550180107	113	28	141	28
Thu Feb 14 21:35:07 2019	1550180107	114	28	141	27
Thu Feb 14 21:35:07 2019	1550180107	120	21	141	20
Thu Feb 14 21:35:09 2019	1550180109	87	54	142	54
Thu Feb 14 21:35:08 2019	1550180108	65	77	142	76
Thu Feb 14 21:35:07 2019	1550180107	113	29	142	28
Thu Feb 14 21:35:07 2019	1550180107	119	23	142	22
Thu Feb 14 21:35:07 2019	1550180107	117	26	143	24
Thu Feb 14 21:35:08 2019	1550180108	65	78	143	78
Thu Feb 14 21:35:05 2019	1550180105	121	22	143	21
Thu Feb 14 21:35:05 2019	1550180105	115	28	143	28
Thu Feb 14 21:35:09 2019	1550180109	125	18	144	18
Thu Feb 14 21:35:09 2019	1550180109	125	18	144	18
Thu Feb 14 21:35:05 2019	1550180105	121	22	144	21
Thu Feb 14 21:35:09 2019	1550180109	126	18	144	18
Thu Feb 14 21:35:09 2019	1550180109	86	58	144	58
Thu Feb 14 21:35:06 2019	1550180106	124	20	144	20
Thu Feb 14 21:35:09 2019	1550180109	125	19	144	19
Thu Feb 14 21:35:06 2019	1550180106	124	21	145	20
Thu Feb 14 21:35:09 2019	1550180109	130	15	145	15
Thu Feb 14 21:35:06 2019	1550180106	124	21	145	20
Thu Feb 14 21:35:07 2019	1550180107	106	39	145	39
Thu Feb 14 21:35:07 2019	1550180107	106	40	146	40
Thu Feb 14 21:35:07 2019	1550180107	107	41	148	41
